Record Length,Analog:7000,
Sample Interval,Analog:1.000000E-05,
Vertical Units,CH1:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+2.000000E+00, CH3:+2.000000E+00, CH4:+5.000000E-01,,
Vertical Offset,CH1:-6.600000E+00, CH3:-6.160000E+00, CH4:-1.278000E+01,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+03,
Model Number,SDS1104X-E,
Serial Number,SDSMMGKD7R7907,
Software Version,8.3.6.1.37R10,
Source,CH1,CH3,CH4
Second,Value,Value,Value
+4.384400E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.384500E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.384600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.384700E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.384800E-01,+8.920000E+00,+1.264000E+01,+1.052000E+01
+4.384900E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.385000E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.385100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.385200E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.385300E-01,+6.760000E+00,+1.264000E+01,+1.052000E+01
+4.385400E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.385500E-01,+1.240000E+00,+1.280000E+01,+1.052000E+01
+4.385600E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.385700E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.385800E-01,+2.440000E+00,+1.264000E+01,+1.052000E+01
+4.385900E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.386000E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.386100E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.386200E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.386300E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.386400E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.386500E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.386600E-01,+1.196000E+01,+1.256000E+01,+1.052000E+01
+4.386700E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.386800E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.386900E-01,+1.220000E+01,+1.288000E+01,+1.052000E+01
+4.387000E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.387100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.387200E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.387300E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.387400E-01,+4.440000E+00,+1.264000E+01,+1.052000E+01
+4.387500E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.387600E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.387700E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.387800E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.387900E-01,+5.080000E+00,+1.272000E+01,+1.052000E+01
+4.388000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.388100E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.388200E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.388300E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.388400E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.388500E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.388600E-01,+1.228000E+01,+1.264000E+01,+1.052000E+01
+4.388700E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.388800E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.388900E-01,+1.212000E+01,+1.280000E+01,+1.052000E+01
+4.389000E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.389100E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.389200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.389300E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.389400E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.389500E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.389600E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.389700E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.389800E-01,+1.400000E+00,+1.272000E+01,+1.052000E+01
+4.389900E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.390000E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.390100E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.390200E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.390300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.390400E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
